model_name,provider,release_date,model_version,model_type,open_source,license_type,context_window_k,training_cutoff,multimodal,supported_languages,api_available,mmlu_score,humaneval_score,math_score,gpqa_score,arena_elo,gsm8k_score,hellaswag_score,arc_challenge_score,truthfulqa_score,winogrande_score,cost_input_per_1m_usd,cost_output_per_1m_usd,reasoning_model,fine_tuned_variant,base_model,parameter_tier,benchmark_completeness,benchmark_source,notes,parameters_b,model_tier,memory_footprint_gb,release_year,release_quarter,is_target_company
GPT-3 Ada,OpenAI,2020-06-11,v1.0,LLM,No,Proprietary,4.0,2019-10,No,en,Yes,17.9,1.8,,,,8.7,47.8,27.2,30.8,43.9,,,No,No,,Mini,64,OpenAI API 2020,350M; smallest GPT-3,0.35,frontier,,2020,2020Q2,True
GPT-3 Babbage,OpenAI,2020-06-11,v1.0,LLM,No,Proprietary,4.0,2019-10,No,en,Yes,25.1,4.0,,,,14.4,60.0,34.9,38.1,51.8,,,No,No,,Small,64,OpenAI API 2020,1.3B,1.3,frontier,,2020,2020Q2,True
GPT-3 Curie,OpenAI,2020-06-11,v1.0,LLM,No,Proprietary,4.0,2019-10,No,en,Yes,34.3,6.9,,,,21.9,70.1,42.7,42.1,60.3,,,No,No,,Large,64,OpenAI API 2020,6.7B,6.7,frontier,,2020,2020Q2,True
GPT-3 Davinci,OpenAI,2020-06-11,v1.0,LLM,No,Proprietary,4.0,2019-10,No,en,Yes,43.8,11.8,,,,35.0,79.1,51.2,47.2,69.9,,,No,No,,XL,64,OpenAI API (2020); Brown et al. 2020 (arXiv:2005.14165),Original GPT-3 175B,175.0,frontier,,2020,2020Q2,True
Codex 12B,OpenAI,2021-08-10,v1.0,LLM,No,Proprietary,8.0,2021-05,No,multilingual,Yes,,29.1,,,,,,,,,,,No,Yes,GPT-3,Large,9,Chen et al. 2021 (arXiv:2107.03374),First code LLM; GitHub Copilot backbone,12.0,frontier,,2021,2021Q3,True
InstructGPT text-davinci-001,OpenAI,2022-01-27,v1.0,LLM,No,Proprietary,4.0,2021-06,No,en,Yes,50.6,17.8,,,,44.4,80.0,53.0,50.3,72.1,,,No,Yes,GPT-3,XL,64,Ouyang et al. 2022 (arXiv:2203.02155),RLHF; InstructGPT paper,175.0,frontier,,2022,2022Q1,True
InstructGPT text-davinci-002,OpenAI,2022-03-15,v2.0,LLM,No,Proprietary,4.0,2021-06,No,en,Yes,56.4,21.9,,,,48.8,82.3,54.7,53.2,73.1,,,No,Yes,GPT-3,XL,64,OpenAI (Mar 2022),RLHF v2,175.0,frontier,,2022,2022Q1,True
PaLM 62B,Google,2022-04-04,v1.0,LLM,No,Proprietary,4.0,2021-10,No,multilingual,No,63.2,15.9,,,,65.6,84.4,70.4,,77.7,,,No,No,,Large,45,Chowdhery et al. 2022,,62.0,frontier,,2022,2022Q2,True
PaLM 8B,Google,2022-04-04,v1.0,LLM,No,Proprietary,4.0,2021-10,No,multilingual,No,49.6,3.6,,,,52.5,76.7,58.0,,73.0,,,No,No,,Small,45,Chowdhery et al. 2022 (arXiv:2204.02311),540B training; smallest PaLM,8.0,frontier,,2022,2022Q2,True
PaLM 540B,Google,2022-04-04,v1.0,LLM,No,Proprietary,4.0,2021-10,No,multilingual,No,69.1,26.2,8.8,,,74.2,83.3,76.9,,76.9,,,No,No,,XL,45,Chowdhery et al. 2022,540B few-shot SOTA 2022,540.0,frontier,,2022,2022Q2,True
InstructGPT text-davinci-003,OpenAI,2022-11-28,v3.0,LLM,No,Proprietary,4.0,2021-06,No,en,Yes,64.4,36.4,,,,56.1,84.8,62.6,57.0,76.3,,,No,Yes,GPT-3,XL,64,OpenAI (Nov 2022),PPO fine-tune,175.0,frontier,,2022,2022Q4,True
